# EPIC structured flight events for epic_2026-07-02-17-02-25.bag
# line format: [ros_epoch][+rel_s][FSM_STATE] CATEGORY signature | detail
# EPIC session info | published_ros=1782979344.397
# box | down=[-150, -150, 0.5] up=[150, 150, 2.5]
# corridor | DilateSoft=0.60 DilateHard=0.45 MaxCorridor=4.0 MaxVel=1.0 max_traj_len=10.0 safe_dist=0.60 bubble_min_r=0.61
# frontier | cell=0.40 cluster_sz=[1.0, 5.0] minpts=5 dphi=0.26 znum=3 good_dir_score=0.60
# viewpoint | pillar_r=[0.5, 2.0]x8 h=[-1.0, 1.0]x5 circle_n=4 local_tsp=12
# fsm | takeoff_h=1.25 goal_tol=0.10 replan_t=0.20 emerg_err=3.0 max_hz=30 avoid_to=0.5 auto_rth_land=1 rth_land_xy_tol=0.20 avoidance=1
# topics | odom=/Odometry cloud=/cloud_registered
[1782979346.254][     +1.9s][WAIT_TRIGGER] BATT 24.5V | v=24.83V pct=88%
[1782979346.358][     +2.0s][WAIT_TRIGGER] AVOID ON (obstacle close, reactive layer overrides cmd) | pos=(0.03, -0.01, 0.02)
[1782979349.678][     +5.3s][WAIT_TRIGGER] AVOID OFF (released, replan from current pose) | dur=3.3s
[1782979353.033][     +0.0s][WAIT_TRIGGER] EVENT 2D-Nav-Goal trigger | trigger received | pos=(-0.34, 0.07, 1.21)
[1782979353.033][     +0.0s][WAIT_TRIGGER] PARAM box | down=[-150, -150, 0.5] up=[150, 150, 2.5]
[1782979353.033][     +0.0s][WAIT_TRIGGER] PARAM corridor | DilateSoft=0.60 DilateHard=0.45 MaxCorridor=4.0 MaxVel=1.0 max_traj_len=10.0 safe_dist=0.60 bubble_min_r=0.61
[1782979353.033][     +0.0s][WAIT_TRIGGER] PARAM frontier | cell=0.40 cluster_sz=[1.0, 5.0] minpts=5 dphi=0.26 znum=3 good_dir_score=0.60
[1782979353.033][     +0.0s][WAIT_TRIGGER] PARAM viewpoint | pillar_r=[0.5, 2.0]x8 h=[-1.0, 1.0]x5 circle_n=4 local_tsp=12
[1782979353.033][     +0.0s][WAIT_TRIGGER] PARAM fsm | takeoff_h=1.25 goal_tol=0.10 replan_t=0.20 emerg_err=3.0 max_hz=30 avoid_to=0.5 auto_rth_land=1 rth_land_xy_tol=0.20 avoidance=1
[1782979353.033][     +0.0s][WAIT_TRIGGER] PARAM topics | odom=/Odometry cloud=/cloud_registered
[1782979353.033][     +0.0s][TAKEOFF_HOVER] STATE WAIT_TRIGGER -> TAKEOFF_HOVER [triggerCallback: takeoff & hover]
[1782979353.338][     +0.3s][PLAN_TRAJ_EXP] STATE TAKEOFF_HOVER -> PLAN_TRAJ_EXP [takeoff: altitude reached & stable -> explore]
[1782979353.414][     +0.4s][CAUTION] STATE PLAN_TRAJ_EXP -> CAUTION [odom_node no nbrs]
[1782979353.622][     +0.6s][PLAN_TRAJ_EXP] STATE CAUTION -> PLAN_TRAJ_EXP [safetyCallback: not safe, time:0.202740]
[1782979353.834][     +0.8s][PLAN_TRAJ_EXP] STATE CAUTION -> PLAN_TRAJ_EXP [safetyCallback: not safe, time:0.202905] |  (prev cycle x1/0.2s)
[1782979353.883][     +0.9s][PLAN_TRAJ_EXP] STATE PLAN_TRAJ_EXP -> PLAN_TRAJ_EXP [safetyCallback: not safe, time:0.251415]
[1782979353.932][     +0.9s][PLAN_TRAJ_EXP] STATE PLAN_TRAJ_EXP -> PLAN_TRAJ_EXP [safetyCallback: not safe, time:0.300814]
[1782979353.981][     +0.9s][PLAN_TRAJ_EXP] STATE PLAN_TRAJ_EXP -> PLAN_TRAJ_EXP [safetyCallback: not safe, time:0.350037]
[1782979354.032][     +1.0s][PLAN_TRAJ_EXP] STATE PLAN_TRAJ_EXP -> PLAN_TRAJ_EXP [safetyCallback: not safe, time:0.400173]
[1782979361.043][     +8.0s][PLAN_TRAJ_EXP] STUCK no motion >8s in PLAN_TRAJ_EXP | last-local: OK | pos=(-0.30, 0.08, 1.19) still=8s
[1782979368.175][    +15.1s][PLAN_TRAJ_EXP] GLOBAL result=NO_VIEWPOINTS | why: NO_FRONTIER: 0 viewpoints (clusters=1, reachable_clusters=0) pipe[tot=1 dorm=0 unreach=0 cons=1 nocand=0 topo=1 novis=0 ok=0] | clusters=1(reach 0) vp=0(reach 0) pipe[tot=1 dorm=0 unreach=0 cons=1 nocand=0 topo=1 novis=0 ok=0] tour=0n/0.0m goal=(0.0, 0.0, 0.0) t=3ms
[1782979368.176][    +15.1s][PLAN_TRAJ_EXP] LOCAL EXP NO_FRONTIER | t=0.0ms goal_d=1.8m
[1782979368.176][    +15.1s][PLAN_TRAJ_EXP] STATE PLAN_TRAJ_EXP -> PLAN_TRAJ_EXP [PLAN_TRAJ_EXP: no frontier yet (warming up)]
[1782979368.386][    +15.4s][PLAN_TRAJ_EXP] GLOBAL result=NO_VIEWPOINTS | why: NO_FRONTIER: 0 viewpoints (clusters=1, reachable_clusters=0) pipe[tot=1 dorm=0 unreach=1 cons=0 nocand=0 topo=0 novis=0 ok=0] | clusters=1(reach 0) vp=0(reach 0) pipe[tot=1 dorm=0 unreach=1 cons=0 nocand=0 topo=0 novis=0 ok=0] tour=0n/0.0m goal=(0.0, 0.0, 0.0) t=7ms
