Local planning computation time [ms]
metric                                                       n     mean   median      p95      max
/local_planning/bubble_astar_search_cost                   305     0.01     0.01     0.03     0.09
/local_planning/topo_graph_search_cost                      63     0.01     0.01     0.02     0.03
/visualizer/PolysGenerate_timecost                          22     1.13     0.76     3.55     4.92
/visualizer/collision_check_cost                          1597     0.06     0.05     0.10     1.26
/visualizer/lbfgs_optimization_cost                         22     0.00     0.00     0.00     0.00
/visualizer/pointCloudProcess_timecost                      22     0.85     0.79     1.38     1.81
/visualizer/totoalOptimize_timecost                         22     7.04     6.77    12.25    21.79
/visualizer/trajOptimize_timecost                           22     5.06     4.72     8.41    19.60
/visualizer/trajectory_generation_cost                      22     3.93     3.36     6.56    18.10
/visualizer/velocity_check_cost                           1250     0.00     0.00     0.00     0.00
/visualizer/yaw_trajectory_optimization_cost                22     0.93     0.75     2.23     2.48
