# EPIC structured flight events for epic_2026-07-03-11-23-16.bag
# line format: [ros_epoch][+rel_s][FSM_STATE] CATEGORY signature | detail
# EPIC session info | published_ros=1783045395.382
# box | down=[-150, -150, 0.4] up=[150, 150, 2]
# corridor | DilateSoft=0.60 DilateHard=0.45 MaxCorridor=4.0 MaxVel=0.9 max_traj_len=10.0 safe_dist=0.70 bubble_min_r=0.50
# frontier | cell=0.40 cluster_sz=[0.5, 5.0] minpts=4 dphi=0.26 znum=3 good_dir_score=0.60
# viewpoint | pillar_r=[0.5, 2.0]x8 h=[-1.0, 1.0]x5 circle_n=8 local_tsp=16
# fsm | takeoff_h=1.20 goal_tol=0.20 replan_t=0.20 emerg_err=3.0 max_hz=30 avoid_to=0.5 auto_rth_land=1 rth_land_xy_tol=0.20 avoidance=1
# topics | odom=/Odometry cloud=/cloud_registered
[1783045403.407][     +8.0s][WAIT_TRIGGER] PX4 mode=POSCTL armed=1 | prev=POSCTL
[1783045404.321][     +0.0s][WAIT_TRIGGER] EVENT 2D-Nav-Goal trigger | trigger received | pos=(0.04, 0.01, -0.00)
[1783045404.321][     +0.0s][WAIT_TRIGGER] PARAM box | down=[-150, -150, 0.4] up=[150, 150, 2]
[1783045404.321][     +0.0s][WAIT_TRIGGER] PARAM corridor | DilateSoft=0.60 DilateHard=0.45 MaxCorridor=4.0 MaxVel=0.9 max_traj_len=10.0 safe_dist=0.70 bubble_min_r=0.50
[1783045404.321][     +0.0s][WAIT_TRIGGER] PARAM frontier | cell=0.40 cluster_sz=[0.5, 5.0] minpts=4 dphi=0.26 znum=3 good_dir_score=0.60
[1783045404.321][     +0.0s][WAIT_TRIGGER] PARAM viewpoint | pillar_r=[0.5, 2.0]x8 h=[-1.0, 1.0]x5 circle_n=8 local_tsp=16
[1783045404.321][     +0.0s][WAIT_TRIGGER] PARAM fsm | takeoff_h=1.20 goal_tol=0.20 replan_t=0.20 emerg_err=3.0 max_hz=30 avoid_to=0.5 auto_rth_land=1 rth_land_xy_tol=0.20 avoidance=1
[1783045404.321][     +0.0s][WAIT_TRIGGER] PARAM topics | odom=/Odometry cloud=/cloud_registered
[1783045404.321][     +0.0s][TAKEOFF_HOVER] STATE WAIT_TRIGGER -> TAKEOFF_HOVER [triggerCallback: takeoff & hover]
[1783045404.407][     +0.1s][TAKEOFF_HOVER] BATT 24.5V | v=24.62V pct=81% (x3)
[1783045406.406][     +2.1s][TAKEOFF_HOVER] PX4 mode=OFFBOARD armed=1 | prev=POSCTL
[1783045408.405][     +4.1s][TAKEOFF_HOVER] BATT 24.0V | v=24.20V pct=87% (prev x1/2.0s)
[1783045410.404][     +6.1s][TAKEOFF_HOVER] BATT 23.5V | v=23.85V pct=75%
[1783045412.404][     +8.1s][TAKEOFF_HOVER] BATT 23.5V | v=23.71V pct=73%
[1783045413.084][     +8.8s][PLAN_TRAJ_EXP] STATE TAKEOFF_HOVER -> PLAN_TRAJ_EXP [takeoff: altitude reached & stable -> explore]
[1783045413.217][     +8.9s][PLAN_TRAJ_EXP] GLOBAL result=NO_VIEWPOINTS | why: NO_FRONTIER: 0 viewpoints (clusters=1, reachable_clusters=0) pipe[tot=1 dorm=0 unreach=0 cons=1 nocand=0 topo=1 novis=0 ok=0] | clusters=1(reach 0) vp=0(reach 0) pipe[tot=1 dorm=0 unreach=0 cons=1 nocand=0 topo=1 novis=0 ok=0] tour=0n/0.0m goal=(0.0, 0.0, 0.0) t=8ms
[1783045413.223][     +8.9s][PLAN_TRAJ_EXP] LOCAL EXP NO_FRONTIER | t=0.0ms goal_d=1.1m
[1783045413.223][     +8.9s][PLAN_TRAJ_EXP] STATE PLAN_TRAJ_EXP -> PLAN_TRAJ_EXP [PLAN_TRAJ_EXP: no frontier yet (warming up)]
[1783045413.436][     +9.1s][PLAN_TRAJ_EXP] GLOBAL result=NO_VIEWPOINTS | why: NO_FRONTIER: 0 viewpoints (clusters=1, reachable_clusters=0) pipe[tot=1 dorm=0 unreach=1 cons=0 nocand=0 topo=0 novis=0 ok=0] | clusters=1(reach 0) vp=0(reach 0) pipe[tot=1 dorm=0 unreach=1 cons=0 nocand=0 topo=0 novis=0 ok=0] tour=0n/0.0m goal=(0.0, 0.0, 0.0) t=11ms
[1783045414.295][    +10.0s][PLAN_TRAJ_EXP] GLOBAL result=NO_REACHABLE_VP | why: NO_PATH: 1 viewpoints exist but NONE reachable via topo graph (clusters=1, reachable_clusters=1) | clusters=1(reach 1) vp=1(reach 0) pipe[tot=1 dorm=0 unreach=0 cons=1 nocand=0 topo=0 novis=0 ok=1] tour=0n/0.0m goal=(0.0, 0.0, 0.0) t=16ms (prev cycle x1/0.9s)
[1783045414.404][    +10.1s][PLAN_TRAJ_EXP] BATT 23.5V | v=23.63V pct=73%
[1783045414.731][    +10.4s][PLAN_TRAJ_EXP] GLOBAL result=OK | clusters=1(reach 1) vp=1(reach 1) pipe[tot=1 dorm=0 unreach=0 cons=1 nocand=0 topo=0 novis=0 ok=1] tour=2n/5.3m goal=(0.0, 0.0, 0.0) t=26ms (prev x1/0.2s)
[1783045414.731][    +10.4s][PLAN_TRAJ_EXP] STATE PLAN_TRAJ_EXP -> PLAN_TRAJ_EXP [planGlobalPath: succeed] |  (prev x137/1.5s)
[1783045414.732][    +10.4s][PLAN_TRAJ_EXP] LOCAL EXP FAIL | why: fast-searcher: no path odom->goal | t=0.1ms goal_d=1.2m (prev x137/1.5s)
