# EPIC structured flight events for epic_2026-07-09-22-27-38.bag
# line format: [ros_epoch][+rel_s][FSM_STATE] CATEGORY signature | detail
# EPIC session info | published_ros=1783603657.296
# box | down=[-150, -150, 0.4] up=[150, 150, 2]
# corridor | DilateRadiusSoft=0.60 DilateRadiusHard=0.50 MaxCorridorSize=4.0 MaxVelMag=0.9 max_traj_len=10.0 astar_safe_distance=0.65 bubble_min_radius=0.50
# frontier | cell_size=0.20 cluster_size=[0.5, 7.0] cluster_min_points=4 candidate_dphi=0.26 candidate_znum=3 good_observation_dir_score=0.80
# viewpoint | pillar_radius=[0.5, 2.0]x8 pillar_height=[-1.0, 1.0]x5 circle_samples=8 min_obstacle_clearance=0.65 local_tsp_size=10
# fsm | takeoff_height=1.20 goal_tolerance=0.20 replan_time=0.20 emergency_replan_error=3.0 local_plan_max_hz=30 avoid_flag_timeout=0.5 auto_rth_land=1 rth_land_xy_tol=0.20 avoidance_enabled=1
# topics | odom=/Odometry cloud=/cloud_registered_cropped (cropped)
[1783603658.831][     +1.6s][WAIT_TRIGGER] BATT 23.5V | voltage=23.64V percent=48%
[1783603660.830][     +3.5s][WAIT_TRIGGER] BATT 23.5V | voltage=23.63V percent=48%
[1783603662.833][     +5.6s][WAIT_TRIGGER] BATT 23.5V | voltage=23.64V percent=48%
[1783603666.826][     +9.5s][WAIT_TRIGGER] BATT 23.5V | voltage=23.63V percent=48% (repeated x1)
[1783603668.826][    +11.5s][WAIT_TRIGGER] BATT 23.5V | voltage=23.64V percent=48%
[1783603672.825][    +15.5s][WAIT_TRIGGER] BATT 23.5V | voltage=23.63V percent=48% (repeated x1)
[1783603674.831][    +17.6s][WAIT_TRIGGER] BATT 23.5V | voltage=23.64V percent=48%
[1783603676.824][    +19.5s][WAIT_TRIGGER] BATT 23.5V | voltage=23.63V percent=48%
[1783603680.822][    +23.5s][WAIT_TRIGGER] BATT 23.5V | voltage=23.64V percent=48% (repeated x1)
[1783603684.822][    +27.5s][WAIT_TRIGGER] BATT 23.5V | voltage=23.63V percent=48% (repeated x1)
[1783603686.820][    +29.5s][WAIT_TRIGGER] BATT 23.5V | voltage=23.64V percent=48%
[1783603688.336][    +31.1s][WAIT_TRIGGER] Avoidance: Activated  <->  Deactivated | cycling x278 over 30.0s
[1783603688.819][    +31.5s][WAIT_TRIGGER] BATT 23.5V | voltage=23.63V percent=48%
[1783603690.818][    +33.5s][WAIT_TRIGGER] BATT 23.5V | voltage=23.64V percent=48%
[1783603692.817][    +35.5s][WAIT_TRIGGER] BATT 23.5V | voltage=23.63V percent=48%
[1783603696.816][    +39.5s][WAIT_TRIGGER] BATT 23.5V | voltage=23.64V percent=48% (repeated x1)
[1783603700.811][    +43.5s][WAIT_TRIGGER] BATT 23.5V | voltage=23.63V percent=48% (repeated x1)
[1783603702.815][    +45.5s][WAIT_TRIGGER] BATT 23.5V | voltage=23.64V percent=48%
[1783603704.814][    +47.5s][WAIT_TRIGGER] BATT 23.5V | voltage=23.63V percent=48%
[1783603708.810][    +51.5s][WAIT_TRIGGER] BATT 23.5V | voltage=23.64V percent=48% (repeated x1)
[1783603710.811][    +53.5s][WAIT_TRIGGER] BATT 23.5V | voltage=23.63V percent=48%
[1783603714.814][    +57.5s][WAIT_TRIGGER] BATT 23.5V | voltage=23.64V percent=48% (repeated x1)
[1783603716.807][    +59.5s][WAIT_TRIGGER] BATT 23.5V | voltage=23.63V percent=48%
[1783603718.386][    +61.1s][WAIT_TRIGGER] Avoidance: Deactivated  <->  Activated | cycling x561 over 60.1s
[1783603718.804][    +61.5s][WAIT_TRIGGER] BATT 23.5V | voltage=23.64V percent=48%
[1783603720.808][    +63.5s][WAIT_TRIGGER] BATT 23.5V | voltage=23.63V percent=48%
