# EPIC structured flight events for epic_2026-07-20-19-19-26.bag
# line format: [ros_epoch][+rel_s][FSM_STATE] CATEGORY signature | detail
# EPIC session info | published_ros=1784542765.716
# box | down=[-150, -150, 0.4] up=[150, 150, 2]
# corridor | DilateRadiusSoft=0.60 DilateRadiusHard=0.50 MaxCorridorSize=4.0 MaxVelMag=0.9 max_traj_len=10.0 astar_safe_distance=0.65 bubble_min_radius=0.50
# frontier | cell_size=0.20 cluster_size=[0.5, 7.0] cluster_min_points=4 candidate_dphi=0.26 candidate_znum=3 good_observation_dir_score=0.80
# viewpoint | pillar_radius=[0.5, 2.0]x8 pillar_height=[-1.5, 1.5]x5 circle_samples=8 min_obstacle_clearance=0.65 local_tsp_size=10
# fsm | takeoff_height=1.20 goal_tolerance=0.20 replan_time=0.20 emergency_replan_error=3.0 local_plan_max_hz=30 avoid_flag_timeout=0.5 auto_rth_land=1 rth_land_xy_tol=0.20 avoidance_enabled=1
# topics | odom=/Odometry cloud=/cloud_registered
[1784542767.137][     +1.4s][WAIT_TRIGGER] BATT 23.0V | voltage=23.42V percent=41%
[1784542769.137][     +3.4s][WAIT_TRIGGER] BATT 23.0V | voltage=23.40V percent=40%
[1784542771.135][     +5.4s][WAIT_TRIGGER] BATT 23.0V | voltage=23.39V percent=40%
[1784542779.130][    +13.4s][WAIT_TRIGGER] BATT 23.0V | voltage=23.38V percent=40% (repeated x3)
[1784542785.125][    +19.4s][WAIT_TRIGGER] BATT 23.0V | voltage=23.38V percent=39% (repeated x2)
[1784542787.123][    +21.4s][WAIT_TRIGGER] BATT 23.0V | voltage=23.38V percent=40%
[1784542789.125][    +23.4s][WAIT_TRIGGER] BATT 23.0V | voltage=23.38V percent=39%
[1784542793.121][    +27.4s][WAIT_TRIGGER] BATT 23.0V | voltage=23.37V percent=39% (repeated x1)
[1784542799.118][    +33.4s][WAIT_TRIGGER] BATT 23.0V | voltage=23.36V percent=39% (repeated x2)
[1784542801.117][    +35.4s][WAIT_TRIGGER] BATT 23.0V | voltage=23.37V percent=39%
[1784542803.115][    +37.4s][WAIT_TRIGGER] BATT 23.0V | voltage=23.36V percent=39%
[1784542813.108][    +47.4s][WAIT_TRIGGER] BATT 23.0V | voltage=23.31V percent=37% (repeated x4)
[1784542815.107][    +49.4s][WAIT_TRIGGER] BATT 23.0V | voltage=23.33V percent=38%
